reference,tagged_entity,start_pos,topostext_id
3.5.1,Alps,1538,441073LAlp
3.5.1,Lemanus,1568,465066WLem
3.5.1,Arar,1615,458048WAra
3.5.1,Isara,1652,450049WIsa
3.5.1,Druentia,1666,437053WDru
3.5.1,Rhodanus,1953,437046WRho
3.5.1,Rhone,1965,437046WRho
3.5.2,Rhone,46,437046WRho
3.5.3,Massilia,16,433054PMas
3.5.3,Citharista,124,432056HKit
3.5.3,Forum Julii,293,434067UFIo
3.5.3,Antipolis,551,436072UAnt
3.5.3,Varus,632,437072WVar
3.5.3,Alps,682,441073LAlp
3.5.4,Arelate,33,437046UAre
3.5.4,Sextanorum,41,436039USex
3.5.4,Beterrae,53,433032UBae
3.5.4,Arausio,80,441048UCol
3.5.4,Valentia,102,449049UCol
3.5.4,Vienne,147,455049UVie
3.5.4,Aquae Sextiae,219,435054UCol
3.5.4,Avenio,266,439048UAve
3.5.4,Apta Julia,296,439054UApt
3.5.4,Alebece,334,438061URei
3.5.4,Alba,375,442060UAlH
3.5.4,Cabellio,484,438050UCab
3.5.4,Carcasum,494,432024UCar
3.5.4,Cessero,546,434034UCes
3.5.4,Carpentoracte,555,441050UCar
3.5.4,Forum Voconi,658,434063UFVo
3.5.4,Glanum,672,438048UGla
3.5.4,Nemausum,732,438044UNem
3.5.4,Aquitania,881,450010RAqu
3.5.4,Vasio,940,442051UVas
3.5.4,Lucus Augusti,949,446055ULAu
3.5.4,Nemausum,1114,438044UNem
3.5.4,Alps,1191,441073LAlp
3.6.1,Italy,21,406163RIta
3.6.1,Etruria,78,430105RTyr
3.6.1,Latium,95,417129RLat
3.6.1,Tiber,127,419125WTib
3.6.1,Rome,150,419125PRom
3.6.1,Campania,266,411146RCam
3.6.1,Picenum,297,430135RPic
3.6.1,Lucania,309,404160RLeu
3.6.1,Bruttium,325,392165RBre
3.6.1,Italy,341,406163RIta
3.6.1,Alps,449,441073LAlp
3.6.1,Bruttium,520,392165RBre
3.6.3,Rome,251,419125PRom
3.6.3,Campania,430,411146RCam
3.6.5,Leucopetra,364,380156ULeu
3.6.5,Lacinium,392,390172SLac
3.6.5,Alps,482,441073LAlp
3.6.5,Praetoria Augusta,490,457073UAug
3.6.5,Rome,529,419125PRom
3.6.5,Capua,538,411143PCap
3.6.5,Rhegium,559,381156PRhe
3.6.5,Lacinium,710,390172SLac
3.6.5,Varus,909,437072WVar
3.6.5,Rome,982,419125PRom
3.6.5,Adriatic,1041,421170WAdr
3.6.5,Tiber,1075,419125WTib
3.6.5,Adriatic,1153,421170WAdr
3.6.5,Alsium,1169,419121UAls
3.6.5,Varus,1279,437072WVar
3.6.6,Istria,55,450139RHis
3.6.6,Liburnia,66,440154RLib
3.6.6,Epirus,119,395205REpe
3.6.6,Illyricum,130,405195RIll
3.6.6,Sardinia,201,402920ISar
3.6.6,Sicily,218,376145RSic
3.6.6,Corsica,232,420090IKyr
3.6.6,Issa,258,431162IIss
3.6.7,Italy,222,406163RIta
3.7.1,Varus,59,437072WVar
3.7.1,Nicaea,86,437073UNik
3.7.1,Alps,142,441073LAlp
3.7.1,Cemenelio,237,437073UCem
3.7.1,Alps,395,441073LAlp
3.7.1,Alps,468,441073LAlp
3.7.1,Albium Intemelium,740,43876UAlb
3.7.1,Albium Ingaunum,789,440082UAlI
3.7.1,Genua,869,44489UGen
3.7.1,Macra,965,441094WMac
3.7.1,Liguria,997,443083RLig
3.7.2,Apennines,57,425136LApe
3.7.2,Italy,114,406163RIta
3.7.2,Alps,166,441073LAlp
3.7.2,Apennines,217,425136LApe
3.7.2,Padus,240,450120WEri
3.7.2,Italy,268,406163RIta
3.7.2,Libarna,322,44789ULib
